Q,var,;,ID,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,?,*,/,%,not,[,],LIBO,LIIN,LICH,LISTR,$,PROGRAM',PROGRAM,DELI,DEF,VADE,VALI,IDLI,IDLICO,FUDE,PALI,VADELI,STLI,STMT,STAS,STIN,STDE,STFUCA,FUCA,EXLI,EXLICO,STIF,ELIFLI,ELSE,STLO,STBR,STRE,STEM,EXPR,EXOR,EXAN,EXCO,OPCO,EXRE,OPREL,EXADD,OPADD,EXMUL,OPMUL,EXUN,OPUN,EXPRIM,ARRAY,LIT
0,r3,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,s6,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,3,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,r2,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,r4,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,r5,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,r65,,r65,,r65,,,,,,,,,,,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,100,60,61,67,68
61,,r70,,r70,,r70,,,,,,,,,,,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,r71,,r71,,,,,,,,,,,,,,,,,,,,,r71,r71,,,,r71,r71,,r71,r71,r71,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,r72,,r72,,,,,,,,,,,,,,,,,,,,,r72,r72,,,,r72,r72,,r72,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,r73,,r73,,,,,,,,,,,,,,,,,,,,,r73,r73,,,,r73,r73,,r73,r73,r73,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,r74,,r74,s45,r74,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r75,,r75,,r75,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,r76,,r76,,r76,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,r76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,r77,,r77,,r77,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,,,r77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,101,53,54,55,,56,,57,,58,,59,60,61,67,68
70,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,r33,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,102,,,,,,,,,77,53,54,55,,56,,57,,58,,59,60,61,67,68
71,,r80,,r80,,r80,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,,,r80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,r81,,r81,,r81,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,,r81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,r82,,r82,,r82,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,,,r82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r83,,r83,,r83,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,,,r83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,s106,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,
78,,r28,r28,,,,,r28,,r28,r28,r28,,,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,r29,r29,,,,,r29,,r29,r29,r29,,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,s43,s35,,,,,s108,,s36,s37,s39,,,s40,s41,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,27,28,29,38,,,30,,,31,32,33,34,,,,,,,,,,,,,,,,
82,,r43,r43,,,,,r43,,r43,r43,r43,,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,109,55,,56,,57,,58,,59,60,61,67,68
84,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,110,,56,,57,,58,,59,60,61,67,68
85,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,111,,57,,58,,59,60,61,67,68
86,,,r52,,r52,,,,,,,,,,,,,,,,,,,,,r52,r52,,,,r52,r52,,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,r53,,r53,,,,,,,,,,,,,,,,,,,,,r53,r53,,,,r53,r53,,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,112,,58,,59,60,61,67,68
89,,,r56,,r56,,,,,,,,,,,,,,,,,,,,,r56,r56,,,,r56,r56,,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,r57,,r57,,,,,,,,,,,,,,,,,,,,,r57,r57,,,,r57,r57,,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,r58,,r58,,,,,,,,,,,,,,,,,,,,,r58,r58,,,,r58,r58,,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,r59,,r59,,,,,,,,,,,,,,,,,,,,,r59,r59,,,,r59,r59,,r59,r59,r59,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,113,,59,60,61,67,68
94,,,r62,,r62,,,,,,,,,,,,,,,,,,,,,r62,r62,,,,r62,r62,,r62,r62,r62,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,r63,,r63,,,,,,,,,,,,,,,,,,,,,r63,r63,,,,r63,r63,,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,s65,,s69,,,,,,,,,,,,,,,,,,,,,s62,s63,,,,s64,s70,,s71,s72,s73,s74,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,114,60,61,67,68
97,,,r66,,r66,,,,,,,,,,,,,,,,,,,,,r66,r66,,,,r66,r66,,r66,r66,r66,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,r67,,r67,,,,,,,,,,,,,,,,,,,,,r67,r67,,,,r67,r67,,r67,r67,r67,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
