Q,var,;,ID,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,?,*,/,%,not,[,],LIBO,LIIN,LICH,LISTR,$,PROGRAM,DELI,DEF,VADE,VALI,IDLI,IDLICO,FUDE,PALI,VADELI,STLI,STMT,STAS,STIN,STDE,STFUCA,FUCA,EXLI,EXLICO,STIF,ELIFLI,ELSE,STLO,STBR,STRE,STEM,EXPR,EXOR,EXAN,EXCO,OPCO,EXRE,OPREL,EXADD,OPADD,EXMUL,OPMUL,EXUN,OPUN,EXPRIM,ARRAY,LIT
120,,r37,r37,,,,,r37,,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,
121,,r39,r39,,,,,r39,,r39,r39,r39,s123,s124,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,
122,,r35,r35,,,,,r35,,r35,r35,r35,,,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,s125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,s64,,s68,,,,,,,,,,,,,,,,,,,,,s61,s62,,,,s63,s69,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,65,,,,,,,,,,127,52,53,54,,55,,56,,57,,58,59,60,66,67
126,,r16,r16,,,,,r16,,r16,r16,r16,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,s42,s34,,,,,s130,,s35,s36,s38,,,s39,s40,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,26,27,28,37,,,29,,,30,31,32,33,,,,,,,,,,,,,,,,
129,,,,,,,s131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,r38,r38,,,,,r38,,r38,r38,r38,,,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,r16,r16,,,,,r16,,r16,r16,r16,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,s42,s34,,,,,s133,,s35,s36,s38,,,s39,s40,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,26,27,28,37,,,29,,,30,31,32,33,,,,,,,,,,,,,,,,
133,,r36,r36,,,,,r36,,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
